model,task,token_range,icl_accuracy,tv_accuracy,num_datasets
swallow_7B,translation_en_ja_single,0-5tokens,0.42,0.44,50
swallow_7B,translation_ja_en_single,0-5tokens,0.5,0.5,50
swallow_7B,translation_ja_en_jesc,0-5tokens,0.0,0.0,7
swallow_7B,translation_ja_en_jesc,5-10tokens,0.09375,0.0,32
swallow_7B,translation_ja_en_jesc,10-15tokens,0.0,0.0,9
swallow_7B,translation_ja_en_jesc,15-20tokens,0.0,0.0,2
swallow_7B,translation_en_ja_jesc,0-5tokens,0.0,0.0,14
swallow_7B,translation_en_ja_jesc,5-10tokens,0.0,0.0,27
swallow_7B,translation_en_ja_jesc,10-15tokens,0.0,0.0,9
swallow_7B,translation_ja_en_easy,5-10tokens,0.2727272727272727,0.0,11
swallow_7B,translation_ja_en_easy,10-15tokens,0.15625,0.0,32
swallow_7B,translation_ja_en_easy,15-20tokens,0.14285714285714285,0.0,7
swallow_7B,translation_en_ja_easy,0-5tokens,0.0,0.0,1
swallow_7B,translation_en_ja_easy,5-10tokens,0.05714285714285714,0.0,35
swallow_7B,translation_en_ja_easy,10-15tokens,0.0,0.0,13
swallow_7B,translation_en_ja_easy,15-20tokens,0.0,0.0,1
llama_7B,translation_en_ja_single,0-5tokens,0.12,0.1,50
llama_7B,translation_ja_en_single,0-5tokens,0.5357142857142857,0.5357142857142857,28
llama_7B,translation_ja_en_single,5-10tokens,0.4090909090909091,0.45454545454545453,22
llama_7B,translation_ja_en_jesc,0-5tokens,0.0,0.0,1
llama_7B,translation_ja_en_jesc,5-10tokens,0.06666666666666667,0.0,15
llama_7B,translation_ja_en_jesc,10-15tokens,0.05555555555555555,0.0,18
llama_7B,translation_ja_en_jesc,15-20tokens,0.0,0.0,12
llama_7B,translation_en_ja_jesc,0-5tokens,0.0,0.0,14
llama_7B,translation_en_ja_jesc,5-10tokens,0.0,0.0,27
llama_7B,translation_en_ja_jesc,10-15tokens,0.0,0.0,9
llama_7B,translation_ja_en_easy,10-15tokens,0.2222222222222222,0.0,9
llama_7B,translation_ja_en_easy,15-20tokens,0.2222222222222222,0.0,18
llama_7B,translation_en_ja_easy,0-5tokens,0.0,0.0,1
llama_7B,translation_en_ja_easy,5-10tokens,0.0,0.0,35
llama_7B,translation_en_ja_easy,10-15tokens,0.0,0.0,13
llama_7B,translation_en_ja_easy,15-20tokens,0.0,0.0,1
youko_8B,translation_en_ja_single,0-5tokens,0.26,0.28,50
youko_8B,translation_ja_en_single,0-5tokens,0.6938775510204082,0.6122448979591837,49
youko_8B,translation_ja_en_single,5-10tokens,1.0,1.0,1
youko_8B,translation_ja_en_jesc,0-5tokens,0.0,0.0,12
youko_8B,translation_ja_en_jesc,5-10tokens,0.03333333333333333,0.0,30
youko_8B,translation_ja_en_jesc,10-15tokens,0.0,0.0,8
youko_8B,translation_en_ja_jesc,0-5tokens,0.0,0.0,15
youko_8B,translation_en_ja_jesc,5-10tokens,0.0,0.0,31
youko_8B,translation_en_ja_jesc,10-15tokens,0.0,0.0,4
youko_8B,translation_ja_en_easy,5-10tokens,0.0,0.0,17
youko_8B,translation_ja_en_easy,10-15tokens,0.0,0.0,27
youko_8B,translation_ja_en_easy,15-20tokens,0.0,0.0,5
youko_8B,translation_en_ja_easy,0-5tokens,0.0,0.0,3
youko_8B,translation_en_ja_easy,5-10tokens,0.0,0.0,36
youko_8B,translation_en_ja_easy,10-15tokens,0.0,0.0,10
youko_8B,translation_en_ja_easy,15-20tokens,0.0,0.0,1
