model,token_range,icl_accuracy,tv_accuracy,num_datasets
llama_7B,0-5tokens,0.1311,0.1271,18.8
llama_7B,10-15tokens,0.0694,0.0,12.25
llama_7B,15-20tokens,0.0741,0.0,10.3333
llama_7B,5-10tokens,0.1189,0.1136,24.75
swallow_7B,0-5tokens,0.184,0.188,24.4
swallow_7B,10-15tokens,0.0391,0.0,15.75
swallow_7B,15-20tokens,0.0476,0.0,3.3333
swallow_7B,5-10tokens,0.1059,0.0,26.25
youko_8B,0-5tokens,0.1908,0.1784,25.8
youko_8B,10-15tokens,0.0,0.0,12.25
youko_8B,15-20tokens,0.0,0.0,3.0
youko_8B,5-10tokens,0.2067,0.2,23.0
