task,token_range,icl_accuracy,tv_accuracy,num_datasets
translation_en_ja_easy,0-5tokens,0.0,0.0,1.6667
translation_en_ja_easy,10-15tokens,0.0,0.0,12.0
translation_en_ja_easy,15-20tokens,0.0,0.0,1.0
translation_en_ja_easy,5-10tokens,0.019,0.0,35.3333
translation_en_ja_jesc,0-5tokens,0.0,0.0,14.3333
translation_en_ja_jesc,10-15tokens,0.0,0.0,7.3333
translation_en_ja_jesc,5-10tokens,0.0,0.0,28.3333
translation_en_ja_single,0-5tokens,0.2667,0.2733,50.0
translation_ja_en_easy,10-15tokens,0.1262,0.0,22.6667
translation_ja_en_easy,15-20tokens,0.1217,0.0,10.0
translation_ja_en_easy,5-10tokens,0.1364,0.0,14.0
translation_ja_en_jesc,0-5tokens,0.0,0.0,6.6667
translation_ja_en_jesc,10-15tokens,0.0185,0.0,11.6667
translation_ja_en_jesc,15-20tokens,0.0,0.0,7.0
translation_ja_en_jesc,5-10tokens,0.0646,0.0,25.6667
translation_ja_en_single,0-5tokens,0.5765,0.5493,42.3333
translation_ja_en_single,5-10tokens,0.7045,0.7273,11.5
