model,task,task_display,baseline_accuracy,icl_accuracy,tv_accuracy,icl_comet,tv_comet,num_examples
llama_7B,translation_en_ja_single,translation_en_ja_single,0.0,0.04,0.04,0.6951697623729706,0.694598958492279,5
llama_7B,translation_ja_en_single,translation_ja_en_single,0.02,0.58,0.54,0.831538211107254,0.8186354053020477,5
llama_7B,translation_ja_en,translation_ja_en_multi,0.0,0.04,0.0,0.8899778819084168,0.5701368236541748,5
llama_7B,translation_en_ja,translation_en_ja_multi,0.0,0.04,0.0,0.8292672711610795,0.6581747788190841,5
llama_7B,translation_es_en,translation_es_en_multi,0.04,0.9,0.74,0.9315732300281525,0.9027537471055984,5
llama_7B,translation_en_fr,translation_en_fr_multi,0.0,0.74,0.36,0.881744247674942,0.7793602216243743,5
llama_7B,translation_en_es,translation_en_es_multi,0.01,0.78,0.36,0.9188765573501587,0.8144832843542099,5
pythia_2.8B,translation_en_ja_single,translation_en_ja_single,0.0,0.02,0.0,0.6977216774225234,0.6786674201488495,5
pythia_2.8B,translation_ja_en_single,translation_ja_en_single,0.0,0.78,0.74,0.9148415219783783,0.8975878691673279,5
pythia_2.8B,translation_ja_en,translation_ja_en_multi,0.0,0.02,0.0,0.8343394041061402,0.4478664892911911,5
pythia_2.8B,translation_en_ja,translation_en_ja_multi,0.0,0.0,0.0,0.8056111001968383,0.6273591822385788,5
pythia_2.8B,translation_es_en,translation_es_en_multi,0.01,0.78,0.28,0.9110537350177765,0.753926956653595,5
pythia_2.8B,translation_en_fr,translation_en_fr_multi,0.01,0.76,0.06,0.8925280386209488,0.7260582938790321,5
pythia_2.8B,translation_en_es,translation_en_es_multi,0.0,0.68,0.04,0.9043103694915772,0.7870471829175949,5
swallow_7B,translation_en_ja_single,translation_en_ja_single,0.0,0.36,0.4,0.843734085559845,0.8333795034885406,5
swallow_7B,translation_ja_en_single,translation_ja_en_single,0.0,0.6,0.56,0.8447795009613037,0.817537055015564,5
swallow_7B,translation_ja_en,translation_ja_en_multi,0.02,0.02,0.0,0.9014796328544616,0.8148064917325973,5
swallow_7B,translation_en_ja,translation_en_ja_multi,0.0,0.04,0.0,0.8490988457202912,0.7135488396883011,5
swallow_7B,translation_es_en,translation_es_en_multi,0.02,0.82,0.72,0.9208609080314636,0.9055056691169738,5
swallow_7B,translation_en_fr,translation_en_fr_multi,0.03,0.72,0.22,0.8553826689720154,0.7492569887638092,5
swallow_7B,translation_en_es,translation_en_es_multi,0.02,0.7,0.2,0.8978510558605194,0.7657177853584289,5
youko_8B,translation_en_ja_single,translation_en_ja_single,0.0,0.2,0.14,0.7705842852592468,0.7370143437385559,5
youko_8B,translation_ja_en_single,translation_ja_en_single,0.0,0.72,0.64,0.888191612958908,0.8328734850883484,5
youko_8B,translation_ja_en,translation_ja_en_multi,0.0,0.04,0.0,0.8997894990444183,0.4414542472362518,5
youko_8B,translation_en_ja,translation_en_ja_multi,0.0,0.0,0.0,0.8499951803684235,0.5101582014560699,5
youko_8B,translation_es_en,translation_es_en_multi,0.0,0.92,0.3,0.9440509867668152,0.6510416573286056,5
youko_8B,translation_en_fr,translation_en_fr_multi,0.01,0.84,0.2,0.8934618961811066,0.5976893907785416,5
youko_8B,translation_en_es,translation_en_es_multi,0.0,0.76,0.16,0.902234069108963,0.6637693768739701,5
